product_id,vendor_lead_time_days,stock_level,order_quantity,delay_reason,region,cost_per_unit,sustainability_score
Arrow-A,4,344,80,supplier_backlog,EU,11.48,0.43
CloudBox,2,717,30,transport,LATAM,13.05,1.0
CharmBracelet,4,787,115,customs,MEA,10.73,0.96
Arrow-B,6,246,32,supplier_backlog,US,17.81,0.49
CharmBracelet,3,696,78,weather,APAC,9.86,0.11
Arrow-A,6,547,102,transport,EU,9.47,0.8
CloudBox,4,618,82,supplier_backlog,US,12.15,1.0
CloudBox,6,940,109,transport,APAC,7.29,0.67
MagicDust,7,638,0,transport,EU,10.91,0.68
CloudBox,3,414,75,weather,US,10.64,0.5
MagicDust,5,827,0,none,EU,9.93,0.54
CharmBracelet,3,289,43,none,APAC,7.26,0.89
Arrow-A,3,663,61,customs,MEA,21.12,0.72
Arrow-A,2,416,135,customs,MEA,14.06,0.69
CloudBox,2,441,93,weather,LATAM,17.97,0.72
CharmBracelet,3,737,34,supplier_backlog,EU,12.45,0.53
LoveNoteCard,4,445,102,customs,MEA,13.61,0.99
MagicDust,6,316,104,supplier_backlog,LATAM,10.89,0.83
Arrow-A,2,437,30,transport,EU,7.95,0.63
CloudBox,4,776,123,customs,MEA,18.33,0.83
LoveNoteCard,2,752,102,weather,US,12.95,0.64
CloudBox,1,420,134,customs,APAC,13.08,0.64
CloudBox,5,545,44,transport,EU,10.73,0.54
CharmBracelet,8,385,114,transport,US,14.0,0.77
MagicDust,5,618,104,transport,LATAM,5.06,0.6
CharmBracelet,4,582,87,transport,LATAM,16.09,0.59
CharmBracelet,4,423,17,customs,LATAM,6.64,0.39
MagicDust,5,459,58,transport,APAC,16.08,0.18
Arrow-B,6,504,91,supplier_backlog,APAC,18.96,0.71
CharmBracelet,4,387,119,supplier_backlog,APAC,13.22,0.42
Arrow-A,6,744,123,weather,MEA,5.87,0.76
CharmBracelet,8,570,87,none,MEA,7.54,0.38
CloudBox,2,649,122,transport,MEA,9.69,0.31
MagicDust,5,171,132,transport,APAC,15.64,0.83
Arrow-A,3,642,39,transport,US,5.88,0.65
Arrow-B,3,709,167,weather,LATAM,13.57,0.63
LoveNoteCard,5,655,85,transport,APAC,18.41,0.31
Arrow-A,7,780,94,none,MEA,10.36,0.53
CharmBracelet,4,749,106,customs,MEA,17.67,0.43
CloudBox,1,494,187,weather,MEA,6.38,0.86
MagicDust,2,518,42,weather,LATAM,9.62,0.69
CharmBracelet,5,478,102,weather,APAC,6.59,0.43
CharmBracelet,5,862,71,supplier_backlog,LATAM,8.0,0.68
LoveNoteCard,6,558,81,transport,MEA,15.49,0.89
Arrow-A,5,428,125,transport,LATAM,20.32,0.44
